item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
discussion-topics__s-certificate-transparancy	EUDI ARF v3.0.0 — discussion-topics/s-certificate-transparancy.md	Topic S - Certificate Transparency	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/s-certificate-transparancy.md	2026-07-31	text/markdown	14285	de0cd333f15f172b73de0f41e7c6321bb16a11c2aace9454ec40460189806810
discussion-topics__t-support-and-maintenance-by-the-wallet-provider	EUDI ARF v3.0.0 — discussion-topics/t-support-and-maintenance-by-the-wallet-provider.md	T - Support and Maintenance by the Wallet Provider	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/t-support-and-maintenance-by-the-wallet-provider.md	2026-07-31	text/markdown	37488	5857b7ef151bc36e6d6de7d89d384dbca5759c007735cc937d831ad2918211b2
discussion-topics__u-eudi-wallet-trust-mark	EUDI ARF v3.0.0 — discussion-topics/u-eudi-wallet-trust-mark.md	Topic U - EUDI Wallet Trust Mark	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/u-eudi-wallet-trust-mark.md	2026-07-31	text/markdown	21485	9b57b99e781bc657b3a117f159a78ad4b1b48491e16d91a43243660e5a1ad448
discussion-topics__v-pid-rulebook	EUDI ARF v3.0.0 — discussion-topics/v-pid-rulebook.md	V - PID Rulebook	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/v-pid-rulebook.md	2026-07-31	text/markdown	17152	f733ea03c0fdd41450cb176d5a39da2b3755905743a001f903ca5f80df874c7c
discussion-topics__w-transactional-data-for-payments-and-other-use-cases	EUDI ARF v3.0.0 — discussion-topics/w-transactional-data-for-payments-and-other-use-cases.md	Topic W - Transactional data for payments and other use cases	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/w-transactional-data-for-payments-and-other-use-cases.md	2026-07-31	text/markdown	18498	43516aa662b4d3d1abca3ce7f29349b7a13a01728b1828f029afe91342c672f9
discussion-topics__x-relying-party-registration	EUDI ARF v3.0.0 — discussion-topics/x-relying-party-registration.md	Topic X - Relying Party Registration	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/x-relying-party-registration.md	2026-07-31	text/markdown	109750	1fdc7dbf38bfc039b647754cfe7c9f0fc142f42f48a98769ef65aee9d1bb65ea
discussion-topics__x-rr-relying-party-registration	EUDI ARF v3.0.0 — discussion-topics/x-rr-relying-party-registration.md	Topic X - Relying Party Registration (Revision Round)	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/x-rr-relying-party-registration.md	2026-07-31	text/markdown	107346	aa03cc464452afe5ac7e590dd20547321816961aacb0351b23caf992a447926e
discussion-topics__z-device-bound-attestations	EUDI ARF v3.0.0 — discussion-topics/z-device-bound-attestations.md	Topic Z - Device-bound Attestations	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/z-device-bound-attestations.md	2026-07-31	text/markdown	16294	10148686c77a27b12b09bcad8541bb829115fb981de7584c5ad561219236a10a
index	EUDI ARF v3.0.0 — index.md	About the ARF	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/index.md	2026-07-31	text/markdown	613	2ba8f8625bcc93c5e0cd5351eea0f9bb81bda7a59abb64042a38ac5bdb7f19ee
main__01-introduction	EUDI ARF v3.0.0 — main/01-introduction.md	1 Introduction	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/main/01-introduction.md	2026-07-31	text/markdown	13627	89973fd747e07fbf8de681384169c4b9788b5f7f37735c1a10980102fe2ba69b
main__02-eudi-wallet-functionalities	EUDI ARF v3.0.0 — main/02-eudi-wallet-functionalities.md	2 EUDI Wallet functionalities	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/main/02-eudi-wallet-functionalities.md	2026-07-31	text/markdown	24687	9ef8061b703b2556c1f39ea3903593055fc813ac2887ef6772d996c611c57ef8
main__03-roles-within-the-eudi-wallet-ecosystem	EUDI ARF v3.0.0 — main/03-roles-within-the-eudi-wallet-ecosystem.md	3 Roles within the EUDI Wallet ecosystem	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/main/03-roles-within-the-eudi-wallet-ecosystem.md	2026-07-31	text/markdown	39553	98fdcebc9b8659ee5a77a0ca14888138d6f311b6387bc825afebcd391cb968e5
main__04-high-level-architecture	EUDI ARF v3.0.0 — main/04-high-level-architecture.md	4 High-level architecture	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/main/04-high-level-architecture.md	2026-07-31	text/markdown	75627	00413039fad130ac66a56b90e809c157a22b38c6ff8ed4a3939ed1e86fd1ddd9
main__05-data-model-and-data-exchange-protocols	EUDI ARF v3.0.0 — main/05-data-model-and-data-exchange-protocols.md	5 Data model and data exchange protocols	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/main/05-data-model-and-data-exchange-protocols.md	2026-07-31	text/markdown	36922	a2391c64ce6dafdbefcc32d505e2ad0e5e43b20563577e50bea9165ca3c79a7b
main__06-trust-model	EUDI ARF v3.0.0 — main/06-trust-model.md	6 Trust model	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/main/06-trust-model.md	2026-07-31	text/markdown	178584	668d65ccb9a4041e941ae75809d34825d6e9d5e0b00c66c5c50c04df000a5091
